"","tf","es","lens","pvals","z","qvals"
"ATF2","ATF2",0.551676205544398,51,0.0188,2.02890607776192,0.127104347826087
"EWSR1","EWSR1",0.728099568452472,10,0.0202,1.32074524270921,0.127390384615385
"FOXF2","FOXF2",0.755162531031829,8,0.0204,1.22126422671854,0.127390384615385
"EP300","EP300",0.504143393650929,97,0.0206,2.03513787135074,0.127390384615385
"POU5F1","POU5F1",0.61508321720265,25,0.0209,1.90159971382598,0.127390384615385
"NR4A1","NR4A1",0.671401261702086,15,0.0212,1.62108384456756,0.127390384615385
"ESR2","ESR2",0.570265123124762,40,0.0213,1.98701354972756,0.127390384615385
"ZNF382","ZNF382",0.723189832739437,10,0.0218,1.31210020050862,0.127920754716981
"NFIC","NFIC",0.493041699646999,114,0.0227,1.96067532083587,0.129489090909091
"EPAS1","EPAS1",0.57576839066842,35,0.0229,1.90102915700959,0.129489090909091
"KLF8","KLF8",0.748881165203183,8,0.0243,1.17793848587729,0.134951785714286
"ETS1","ETS1",0.460240897550595,212,0.0255,1.91211358604178,0.138913333333333
"SMAD1","SMAD1",0.561025446884092,41,0.0262,1.91166133349607,0.138913333333333
"VHL","VHL",0.623665369196271,21,0.0267,1.72324530137224,0.138913333333333
"WWP1","WWP1",0.641863237122254,18,0.0268,1.6580182669177,0.138913333333333
"TFAP2C","TFAP2C",0.711364477687649,10,0.0275,1.2373747372725,0.140196825396825
"NR0B2","NR0B2",0.696951677880109,11,0.0281,1.28536162011524,0.140196825396825
"RB1","RB1",0.551557537276935,45,0.0284,1.86425785631114,0.140196825396825
"SRF","SRF",0.586143102404021,30,0.029,1.80812965349125,0.140921875
"PPARG","PPARG",0.480736236077926,135,0.0303,1.88804847697087,0.143248484848485
"HDAC1","HDAC1",0.50673049378324,81,0.0304,1.84201769548342,0.143248484848485
"KLF2","KLF2",0.692416970985632,11,0.0316,1.27119864755912,0.144523529411765
"STAT1","STAT1",0.473821094284149,154,0.0316,1.86180303770324,0.144523529411765
"MITF","MITF",0.585380204941963,29,0.0331,1.75841939357073,0.149189855072464
"HNF1A","HNF1A",0.601299816497721,24,0.0338,1.67073057341778,0.150168571428571
"CDX1","CDX1",0.731301115241636,8,0.0365,1.1107764341433,0.159819444444444
"CEBPE","CEBPE",0.685995873079586,11,0.037,1.24773578103653,0.159819444444444
"SOX2","SOX2",0.59945038349283,24,0.0384,1.66979289577932,0.163594520547945
"FOXD3","FOXD3",0.727240307239226,8,0.0396,1.0802168326921,0.166427027027027
"SMURF2","SMURF2",0.610643543234036,20,0.0422,1.53297701646488,0.174323684210526
"CDX2","CDX2",0.573084115576748,31,0.0426,1.69679613703778,0.174323684210526
"YBX1","YBX1",0.565921012093931,31,0.0471,1.62771043795495,0.190235064935065
"NKX2-5","NKX2-5",0.700940097323422,9,0.048,1.0955283685939,0.19087625
"TCF7","TCF7",0.602662974139148,21,0.049,1.52405283934747,0.19087625
"SPDEF","SPDEF",0.686912099897396,10,0.0491,1.1156751748207,0.19087625
"SMAD4","SMAD4",0.497750853108742,78,0.052,1.61028309117535,0.197978048780488
"NFIL3","NFIL3",0.683201805033206,10,0.0522,1.11538223498,0.197978048780488
"HMGA1","HMGA1",0.622038111779715,17,0.0537,1.35480333018253,0.201213253012048
"BCL3","BCL3",0.679579749329869,10,0.0575,1.0768813513019,0.212211764705882
"FOXM1","FOXM1",0.611485420534551,18,0.058,1.36264786636274,0.212211764705882
"ELK1","ELK1",0.520724247308929,51,0.0594,1.54203361868055,0.212695402298851
"AHR","AHR",0.588337667895165,22,0.0595,1.42271602446576,0.212695402298851
"XBP1","XBP1",0.60164034353887,19,0.062,1.38369803862461,0.215307692307692
"JUND","JUND",0.540947382294459,37,0.0622,1.51232274786661,0.215307692307692
"MYB","MYB",0.453283147091759,191,0.0624,1.55110386043862,0.215307692307692
"NFATC3","NFATC3",0.612206358841254,17,0.063,1.28476532343655,0.215307692307692
"PARP1","PARP1",0.561884768647436,28,0.0673,1.45859641574125,0.225725806451613
"EGR2","EGR2",0.610832284683023,17,0.0675,1.28058037885829,0.225725806451613
"SP3","SP3",0.456343039710501,160,0.0702,1.44406676402445,0.232257446808511
"GLI1","GLI1",0.495078370953477,71,0.0715,1.44829194333324,0.234068421052632
"ZNF148","ZNF148",0.690211741665516,8,0.0725,0.952830434766469,0.234869791666667
"SMAD6","SMAD6",0.662821210218886,10,0.0743,1.00027735221922,0.235606060606061
"CREB5","CREB5",0.587913182585878,20,0.0749,1.32309712673392,0.235606060606061
"ATM","ATM",0.568053451439022,25,0.075,1.35811543679277,0.235606060606061
"LMO2","LMO2",0.661102428324172,10,0.0775,1.00289573415506,0.239957843137255
"CEBPD","CEBPD",0.537878379283946,35,0.0782,1.39225598038436,0.239957843137255
"YY1","YY1",0.477666070900405,92,0.0787,1.40175329591076,0.239957843137255
"ATF1","ATF1",0.477381939891563,92,0.081,1.38361207738441,0.244015384615385
"RARA","RARA",0.466911017430808,115,0.0816,1.36656046334049,0.244015384615385
"FLI1","FLI1",0.511688681515447,49,0.0834,1.36982764211994,0.247022857142857
"JUNB","JUNB",0.612399390277638,15,0.0848,1.13848044667467,0.2488
"PIAS3","PIAS3",0.613511422820139,14,0.0856,1.06918420156464,0.2488
"TCF7L2","TCF7L2",0.545478435605342,30,0.0872,1.31445732685236,0.251103703703704
"SIRT1","SIRT1",0.504048205952381,54,0.0889,1.33017276613431,0.253650458715596
"CUX1","CUX1",0.67344897332694,8,0.0936,0.878908458945196,0.264632727272727
"SMAD7","SMAD7",0.555972149288725,25,0.097,1.25811982073796,0.271291964285714
"ING4","ING4",0.602286046341938,15,0.0977,1.06410836647563,0.271291964285714
"HIPK2","HIPK2",0.647071670917342,10,0.0989,0.914219237762364,0.272193805309735
"SP2","SP2",0.655643400424102,9,0.1016,0.886517386858175,0.277171929824561
"IRF9","IRF9",0.599427618801723,15,0.1029,1.0689177943617,0.278277391304348
"NFYB","NFYB",0.592460460442639,16,0.1062,1.07154280736459,0.282823931623932
"SOX4","SOX4",0.667850159899971,8,0.1064,0.856658347947912,0.282823931623932
"ESRRA","ESRRA",0.649616185084564,9,0.1083,0.860425557768288,0.285040495867769
"PAX2","PAX2",0.65046993611415,9,0.1091,0.871197813461413,0.285040495867769
"PTTG1","PTTG1",0.536937347062257,30,0.1107,1.19364056646368,0.285040495867769
"TP73","TP73",0.580252165493074,18,0.1109,1.10329759495328,0.285040495867769
"NFKB2","NFKB2",0.53221579296649,30,0.1166,1.15137033010404,0.293969047619048
"HTT","HTT",0.598706083793286,14,0.1171,0.968011716925673,0.293969047619048
"SOX10","SOX10",0.626038885141964,11,0.1178,0.911331965805983,0.293969047619048
"GLI2","GLI2",0.487765385185369,63,0.1183,1.17745618959736,0.293969047619048
"HDAC9","HDAC9",0.557830767001851,22,0.1191,1.12308755536638,0.293969047619048
"SMAD3","SMAD3",0.469711566045976,87,0.1207,1.17057057227965,0.295572440944882
"NFYC","NFYC",0.590419583754885,15,0.1231,0.968492402295365,0.29909453125
"NR3C1","NR3C1",0.516704549037004,37,0.1249,1.15675482985649,0.301115503875969
